5.000000E+00	1.078222E+00
5.120000E+00	1.077542E+00
5.242400E+00	1.076381E+00
5.367248E+00	1.074497E+00
5.494592E+00	1.071565E+00
5.624484E+00	1.067165E+00
5.756974E+00	1.060787E+00
5.892113E+00	1.051852E+00
6.029955E+00	1.039789E+00
6.170554E+00	1.023986E+00
6.313965E+00	1.003824E+00
6.460244E+00	9.788712E-01
6.609449E+00	9.488228E-01
6.761638E+00	9.136832E-01
6.916871E+00	8.737983E-01
7.075208E+00	8.296041E-01
7.236712E+00	7.817825E-01
7.401446E+00	7.313328E-01
7.569475E+00	6.793694E-01
7.740864E+00	6.269434E-01
7.915681E+00	5.750565E-01
8.093994E+00	5.245803E-01
8.275874E+00	4.763111E-01
8.461392E+00	4.308842E-01
8.650619E+00	3.885724E-01
8.843631E+00	3.495457E-01
9.040504E+00	3.138097E-01
9.241314E+00	2.813077E-01
9.446140E+00	2.515946E-01
9.655062E+00	2.247120E-01
9.868163E+00	2.003908E-01
1.008553E+01	1.783878E-01
1.030724E+01	1.585241E-01
1.053338E+01	1.405988E-01
1.076405E+01	1.244315E-01
1.099933E+01	1.098845E-01
1.123932E+01	9.679747E-02
1.148410E+01	8.502863E-02
1.173378E+01	7.446824E-02
1.198846E+01	6.502684E-02
1.224823E+01	5.658069E-02
1.251319E+01	4.906104E-02
1.278346E+01	4.237103E-02
1.305912E+01	3.647394E-02
1.334031E+01	3.122448E-02
1.362711E+01	2.664247E-02
1.391965E+01	2.260378E-02
1.421805E+01	1.908192E-02
1.452241E+01	1.609308E-02
1.483286E+01	1.339282E-02
1.514951E+01	1.097676E-02
1.547250E+01	9.136363E-03
1.580195E+01	7.772597E-03
1.613799E+01	6.493661E-03
1.648075E+01	5.134333E-03
1.683037E+01	3.844784E-03
1.718697E+01	2.799691E-03
1.755071E+01	1.995967E-03
1.792173E+01	1.340163E-03
1.830016E+01	8.349167E-04
1.868616E+01	5.026093E-04
1.907989E+01	2.962919E-04
